Reference, Value, Footprint, Datasheet
C18,20pF,Capacitors_SMD:C_0603_HandSoldering,
C17,20pF,Capacitors_SMD:C_0603_HandSoldering,
C21,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C20,4.7uF,Capacitors_SMD:C_1206_HandSoldering,
C11,0.22uF,Capacitors_SMD:C_0805_HandSoldering,
C16,0.22uF,Capacitors_SMD:C_0805_HandSoldering,
C15,4.7uF,Capacitors_SMD:C_1206_HandSoldering,
C19,1uF,Capacitors_SMD:C_1206_HandSoldering,
R20,10K,Resistors_SMD:R_0805_HandSoldering,
Y1,16.384MHz,Crystals_Oscillators_SMD:Q_49U3HMS,
R19,1K,Resistors_SMD:R_0805_HandSoldering,
C14,22nF,Capacitors_SMD:C_0603_HandSoldering,
R18,1K,Resistors_SMD:R_0805_HandSoldering,
C12,22nF,Capacitors_SMD:C_0603_HandSoldering,
R17,1K,Resistors_SMD:R_0805_HandSoldering,
C10,22nF,Capacitors_SMD:C_0603_HandSoldering,
R16,1K,Resistors_SMD:R_0805_HandSoldering,
C9,22nF,Capacitors_SMD:C_0603_HandSoldering,
R15,1K,Resistors_SMD:R_0805_HandSoldering,
C8,22nF,Capacitors_SMD:C_0603_HandSoldering,
R7,1K,Resistors_SMD:R_0805_HandSoldering,
C1,22nF,Capacitors_SMD:C_0603_HandSoldering,
R13,1K,Resistors_SMD:R_0805_HandSoldering,
C7,22nF,Capacitors_SMD:C_0603_HandSoldering,
R14,100,Resistors_SMD:R_0805_HandSoldering,
R1,33,Resistors_SMD:R_0805_HandSoldering,
R8,1K,Resistors_SMD:R_0805_HandSoldering,
C2,22nF,Capacitors_SMD:C_0603_HandSoldering,
R9,1K,Resistors_SMD:R_0805_HandSoldering,
C3,22nF,Capacitors_SMD:C_0603_HandSoldering,
R10,1K,Resistors_SMD:R_0805_HandSoldering,
C4,22nF,Capacitors_SMD:C_0603_HandSoldering,
R11,1K,Resistors_SMD:R_0805_HandSoldering,
C5,22nF,Capacitors_SMD:C_0603_HandSoldering,
R12,1K,Resistors_SMD:R_0805_HandSoldering,
C6,22nF,Capacitors_SMD:C_0603_HandSoldering,
T1,TRANSFO,ADE7816:VT2401-A01,
JP1,Jumper_NC_Small,ADE7816:JP,
P1,CONN_01X06,ADE7816:XW4E-06C1-S1,
R2,33,Resistors_SMD:R_0805_HandSoldering,
R3,33,Resistors_SMD:R_0805_HandSoldering,
R4,33,Resistors_SMD:R_0805_HandSoldering,
R5,33,Resistors_SMD:R_0805_HandSoldering,
R6,33,Resistors_SMD:R_0805_HandSoldering,
P2,CONN_01X06,ADE7816:XW4E-06C1-S1,
P3,CONN_01X02,ADE7816:XW4E-02C1-S1,
C13,4.7uF,Capacitors_SMD:C_1206_HandSoldering,
U1,ADE7816,ADE7816:QFN-40-1EP_6x6mm_Pitch0.5mm_HandSoldering,DOCUMENTATION
P4,HEAT SINK,Wire_Pads:SolderWirePad_single_1-2mmDrill,
P7,Power,,
CON1,BARREL_JACK,,
P5,SPI,,
P6,Extra,,
Q1,BSS138,SOT-23,
R21,10K,,
R26,10K,,
Q2,BSS138,SOT-23,
R22,10K,,
R27,10K,,
Q3,BSS138,SOT-23,
R23,10K,,
R28,10K,,
Q4,BSS138,SOT-23,
R24,10K,,
R29,10K,,
Q5,BSS138,SOT-23,
R25,10K,,
R30,10K,,
JP2,Jumper_NO_Small,,
JP3,Jumper_NO_Small,,
JP4,Jumper_NO_Small,,
JP5,Jumper_NO_Small,,
JP6,Jumper_NO_Small,,
